objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","3","2","0","1","0","0","0","0","0","0","0","3","","","","","","93011650","7.965","8.08898","2.2245","20","169837","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Agatha Christie: Death on the Cards","281206","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","92336217","5.58469","6.20512","1.6364","9674","1471","thing","Agatha Christie: Death on the Cards","2","6","40","40","20","2019","3,4,5,6","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Modiphius Entertainment","English","2019","English edition"
"Air, Land, & Sea","247367","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336565","7.06908","7.46338","1.7051","412","18845","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","96108585","6.62362","7.16336","2.6316","1008","7980","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ALIEN: Fate of the Nostromo","332321","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336578","6.28795","7.07597","1.9412","1799","7362","thing","ALIEN: Fate of the Nostromo","1","5","60","60","45","2021","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2021","English edition"
"Archaeology: The Card Game","31105","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","117513451","6.17193","6.65525","1.3389","2218","3773","thing","Archaeology: The Card Game","2","4","20","20","20","2007","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","2","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336182","7.89887","8.12848","3.557","28","79793","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Backgammon","2397","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99297108","6.36853","6.56758","2.006","1571","23845","thing","Backgammon","2","2","30","30","30","1630","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","5","12","0","1","0","0","0","0","0","0","0","3","","","","","","92336048","6.79999","7.01734","2.3981","722","82307","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill: Widow's Walk","198452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336049","6.68289","7.44463","2.7872","0","18352","thing","Betrayal at House on the Hill: Widow's Walk","3","6","60","0","60","2016","3,4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Avalon Hill; Hasbro; Lone Shark Games; Wizards of the Coast","English","2016","English edition"
"Between Two Cities","168435","7","10","0","1","0","0","0","0","0","0","0","3","","","","","","92336375","6.72206","6.9768","1.8191","843","14228","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stonemaier Games","English","2015","English edition"
"Blue Lagoon","244331","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","117513457","6.70343","7.21304","2.0125","877","7744","thing","Blue Lagoon","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros.","172081","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","95327002","7.0935","7.42168","2.3209","381","18757","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up","153938","7","13","0","1","0","0","0","0","0","0","0","3","","","","","","92336057","6.88527","7.03498","1.5037","615","36164","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Campy Creatures","214396","4","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336190","6.31935","7.02291","1.537","1697","6396","thing","Campy Creatures","2","5","30","30","20","2017","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","8","9","0","1","0","0","0","0","0","0","0","3","","","","","","92336520","7.29761","7.41262","1.889","230","207835","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The River","2591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336526","6.71968","7.0291","1.69","0","22898","thing","Carcassonne: The River","2","5","45","45","30","2001","2,3,4,5","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Cards Against Muggles","357179","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130814256","5.50336","5.82778","1","22724","338","thing","Cards Against Muggles","4","20","90","90","30","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","8","16","0","1","0","0","0","0","0","0","0","3","","","","","","92336032","6.46833","6.65502","1.6532","1321","29596","thing","Castle Panic","1","6","60","60","30","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic: Big Box","278693","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571196","5.68178","7.61668","2.125","0","927","thing","Castle Panic: Big Box","1","6","60","60","60","2019","1,2,3,4,5,6","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic: Engines of War","204542","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336040","5.7578","7.15016","2.25","0","2458","thing","Castle Panic: Engines of War","1","6","60","60","60","2016","1,2,3,4","1","8+","","","","","","","expansion","","","","","","","","","","","","Fireside Games","English","2016","English first edition"
"Castle Panic: The Dark Titan","169784","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336036","6.03673","7.24552","2","0","4386","thing","Castle Panic: The Dark Titan","1","6","60","60","60","2015","1,2,3,4,6","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Fireside Games","English","2015","English first edition"
"Castle Panic: The Wizard's Tower","104590","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336033","6.6755","7.45101","2.0672","0","9931","thing","Castle Panic: The Wizard's Tower","1","6","90","90","90","2011","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Cheating Moth","105593","4","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336254","6.08905","6.40941","1.1472","2579","13623","thing","Cheating Moth","3","5","30","30","30","2013","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele; Lion Rampant Imports","English; French","2013","French/English edition"
"Chronicles of Crime","239188","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","103044190","7.18421","7.56004","2.0577","300","39340","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank!: Catacombs","365717","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","110849433","7.65112","8.25548","2.4974","78","16279","thing","Clank!: Catacombs","2","4","90","90","45","2022","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cockroach Poker","11971","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","92336255","6.60222","6.80463","1.1005","1044","25935","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","5","15","0","1","0","0","0","0","0","0","0","3","","","","","","97365940","7.44037","7.5351","1.2587","153","165426","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Deep Undercover","205158","2","2","0","0","0","0","0","0","1","0","0","3","","","","","","92336332","6.15041","6.57025","1.3243","2298","9744","thing","Codenames: Deep Undercover","4","8","15","15","15","2016","4,5,6,7,8","6,8","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","97365926","6.59574","6.75325","1.3834","1055","35133","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","101672571","5.57468","5.68547","1.4156","10290","19932","thing","Cranium","4","99","60","60","60","1998","4,5,6,7,8,9,10,11,12,14,16,18,19,20","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Crumbs","273092","3","3","0","0","0","0","0","0","1","0","0","3","","","","","","92336063","5.5271","6.53187","1.5","16213","207","thing","Crumbs","2","4","45","45","45","2020","3,4","4","8+","","","","","","","standalone","","","","","","","","","","","","Tidbit Games","English","2020","English edition"
"Cryptid: Urban Legends","343274","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","101541726","5.45046","5.11082","2.5","27593","1016","thing","Cryptid: Urban Legends","2","2","40","40","20","2022","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dante Alighieri: Comedia – Inferno","325489","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125507887","0","6.26316","0","0","69","thing","Dante Alighieri: Comedia – Inferno","3","6","30","30","30","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Dark Quarter","354768","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130814227","5.51727","7.07756","0","18767","699","thing","The Dark Quarter","1","4","180","180","120","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Bigger and Badder","352764","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","93011663","6.13051","7.4141","2.4286","2395","7163","thing","Disney Villainous: Bigger and Badder","2","3","60","60","40","2022","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Despicable Plots","331050","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336306","6.37692","7.46619","2.1667","1546","10427","thing","Disney Villainous: Despicable Plots","2","3","60","60","40","2021","2,3","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2021","English Target edition"
"Disney Villainous: Evil Comes Prepared","284760","0","2","0","0","0","0","0","0","1","0","0","3","","","","","","92336318","6.7667","7.50324","2.3214","768","19179","thing","Disney Villainous: Evil Comes Prepared","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Perfectly Wretched","299047","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","92336299","6.69487","7.58593","2.3056","889","15409","thing","Disney Villainous: Perfectly Wretched","2","3","60","60","40","2020","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: The Worst Takes it All","256382","5","2","0","0","0","0","0","0","1","0","0","3","","","","","","92336281","6.70177","6.93368","2.488","879","50268","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"District Noir","216497","6","0","0","0","0","0","0","0","0","0","0","3","","","","","","120876118","6.224","6.9911","1.2698","2017","4291","thing","District Noir","2","2","20","20","10","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Downfall of Pompeii","13004","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336392","6.80099","7.16053","1.8445","719","9766","thing","The Downfall of Pompeii","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Exorcism at the House of Monkton Falls","240869","6","6","0","1","0","0","0","0","0","0","0","3","","","","","","92336414","0","7.09103","2.6667","0","73","thing","The Exorcism at the House of Monkton Falls","1","5","90","90","60","2019","2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","The Screaming Brain","English","2019","English edition"
"Fall of Rome","260428","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","117513462","7.04241","7.60836","2.4658","438","12546","thing","Fall of Rome","1","5","60","60","45","2018","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantasy Realms","223040","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","96108575","7.24392","7.50972","1.8117","262","26427","thing","Fantasy Realms","2","6","20","20","20","2017","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Feed the Kraken","271601","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","121201503","6.96422","7.81602","2.1157","516","6988","thing","Feed the Kraken","5","11","90","90","45","2022","6,7,8,9,10,11","8,9,10,11","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Funtails; SPIEL INSTABIL","English; German","2022","English/German deluxe edition"
"Fisheries of Gloucester","327839","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","110849194","5.5354","6.62817","2","14515","321","thing","Fisheries of Gloucester","2","2","45","45","30","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fisheries of Gloucester Express","342675","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","114099247","0","6.8","0","0","63","thing","Fisheries of Gloucester Express","2","2","15","15","10","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fisheries of Gloucester: Fisherman's Feud Pack","342751","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114099255","0","5","0","0","87","thing","Fisheries of Gloucester: Fisherman's Feud Pack","2","2","45","45","30","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Flourish","312618","2","2","0","0","0","0","0","0","1","0","0","3","","","","","","96108558","5.96425","6.69828","1.8511","3225","3789","thing","Flourish","1","7","60","60","20","2021","1,2,3,4,5,6,7","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fog of Love","175324","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","108571059","6.35709","6.63202","2.2384","1601","17515","thing","Fog of Love","2","2","120","120","60","2017","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"For Northwood! A Solo Trick-Taking Game","334590","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","122415318","6.97462","7.86152","1.8247","502","8753","thing","For Northwood! A Solo Trick-Taking Game","1","1","30","30","15","2021","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","6","4","0","0","0","0","0","0","1","0","0","3","","","","","","92336137","6.9237","7.06799","2.0371","568","56457","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fort","296912","5","3","0","1","0","0","0","0","0","0","0","3","","","","","","92336388","6.77875","7.08563","2.4542","754","20446","thing","Fort","2","4","40","40","20","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Leder Games","English","2020","English edition"
"Foundations of Rome","284189","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","103045220","7.17097","8.05408","1.9621","318","6418","thing","Foundations of Rome","2","4","90","90","60","2022","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest Duet","288169","4","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336229","6.44035","6.99951","1.7529","1383","9510","thing","The Fox in the Forest Duet","2","2","30","30","30","2020","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Foxtrot Games; Renegade Game Studios","English","2020","English edition"
"Freelancers: A Crossroads Game","383206","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113549259","6.20687","7.81075","2.0769","2090","3186","thing","Freelancers: A Crossroads Game","3","7","180","180","90","2023","3,4,5,6","4,5","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571080","6.93201","7.1128","2.1547","555","39534","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fun Facts","370164","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","124462766","6.32101","7.0473","1.0444","1691","4697","thing","Fun Facts","4","8","30","30","30","2022","4,5,6,7,8","6,7,8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","92405975","7.11388","7.41019","3.2811","365","25673","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Galaxy Trucker (Second Edition)","336794","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","92587906","6.87631","7.44093","2.2952","628","13119","thing","Galaxy Trucker (Second Edition)","2","4","30","30","20","2021","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","92336811","8.1338","8.40159","3.6391","11","81257","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Great Split","366752","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","124462748","6.23555","7.02333","2","1972","2852","thing","The Great Split","2","7","45","45","45","2022","3,4,5,6,7","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Green Team Wins","347805","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","112571618","6.26289","7.04107","1.0667","1872","4948","thing","Green Team Wins","3","12","15","15","15","2022","5,6,7,8,9,10,11,12","7,9,11","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","10","10","0","1","0","0","0","0","0","0","0","3","","","","","","92336546","7.17398","7.31894","2.3153","314","54517","thing","Hive","2","2","20","20","20","2001","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive: The Ladybug","70704","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336555","6.64649","7.61643","2.1778","0","9402","thing","Hive: The Ladybug","2","2","20","20","20","2010","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Hive: The Mosquito","30323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336550","6.73977","7.56847","2.2452","0","10878","thing","Hive: The Mosquito","2","2","20","20","20","2007","2","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Hive: The Pillbug","139666","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336549","6.73001","7.72964","2.4302","0","11958","thing","Hive: The Pillbug","2","2","20","20","20","2013","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Horrified","282524","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","92336125","7.31692","7.61549","2.0191","220","35833","thing","Horrified","1","5","60","60","60","2019","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2019","English edition"
"Horrified: American Monsters","343562","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336129","6.60209","7.46361","2.1837","1045","9158","thing","Horrified: American Monsters","1","5","60","60","60","2021","1,2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2021","English edition"
"Horrified: Greek Monsters","397897","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","112571623","6.17895","7.53922","2.0588","2188","4678","thing","Horrified: Greek Monsters","1","5","60","60","60","2023","1,2,3,4,5","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hostage Negotiator","134253","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571085","6.41352","6.78786","2.0352","1468","11602","thing","Hostage Negotiator","1","1","20","20","20","2015","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hotshots","218050","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336133","5.91016","6.98184","2.2","3605","1838","thing","Hotshots","1","4","60","60","60","2017","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Fireside Games","English","2017","English edition"
"ito","327778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130814187","6.18158","7.26653","1.037","2180","3400","thing","ito","2","8","10","10","10","2019","3,4,5,6,7,8","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Joe Name It","95765","4","8","0","1","0","0","0","0","0","0","0","3","","","","","","92336231","5.46776","5.1956","1","27142","663","thing","Joe Name It","2","99","15","15","15","2011","4,5,6,7,8,9,10","4,5","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Gamewright","English","2011","English edition"
