objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Just One","254640","10","10","0","1","0","0","0","0","0","0","0","3","","","","","","108571100","7.43881","7.60018","1.0364","154","52994","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Khôra: Rise of an Empire","299684","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113009989","6.71675","7.39851","2.755","854","7223","thing","Khôra: Rise of an Empire","2","4","75","75","75","2021","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","5","12","0","1","0","0","0","0","0","0","0","3","","","","","","92336403","7.02175","7.125","1.4858","450","107026","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lands of Galzyr","281474","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","103043236","6.58521","7.99792","1.6914","1076","4292","thing","Lands of Galzyr","1","4","150","150","60","2022","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Letters from Whitechapel","59959","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128655501","7.07997","7.34219","2.6423","400","24173","thing","Letters from Whitechapel","2","6","90","90","90","2011","2,3,4,5,6","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The LOOP","316412","10","6","0","1","0","0","0","0","0","0","0","3","","","","","","108571009","6.97394","7.71736","2.8089","503","10454","thing","The LOOP","1","4","60","60","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The LOOP: Fur Brigade","365130","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571033","5.68897","8.28257","2.6667","0","1626","thing","The LOOP: Fur Brigade","1","4","60","60","60","2022","1,2,3,4","3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The LOOP: The Revenge of Fauxzilla","338324","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571031","5.78479","8.21","2.6","0","2119","thing","The LOOP: The Revenge of Fauxzilla","1","4","75","75","50","2021","1,2,3","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lost Cities","50","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571139","7.14517","7.24939","1.4757","338","71490","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lucca Città","19878","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125507833","5.57733","5.94588","1.7302","10121","1091","thing","Lucca Città","3","5","30","30","20","2005","3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Marrying Mr. Darcy","145308","4","3","0","1","0","0","0","0","0","0","0","3","","","","","","92336088","5.85323","6.39862","1.3906","4044","3695","thing","Marrying Mr. Darcy","2","6","60","60","30","2014","2,3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel United","298047","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","108571071","7.18041","7.56663","1.8194","306","26530","thing","Marvel United","1","4","40","40","40","2020","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mexica","2955","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110849238","6.75609","7.24064","2.6756","787","9622","thing","Mexica","2","4","90","90","90","2002","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mexican Train","11634","5","6","0","1","0","0","0","0","0","0","0","3","","","","","","92336356","5.63042","5.81028","1.25","7633","5809","thing","Mexican Train","1","8","20","20","20","1994","2,3,4,5,6,7,8","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mille Bornes","590","3","0","0","0","0","0","0","0","1","0","0","3","","","","","","130814162","5.6014","5.71458","1.2487","8762","19516","thing","Mille Bornes","2","6","45","45","45","1954","2,3,4,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monikers","156546","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","92587887","7.1957","7.77626","1.0889","290","13950","thing","Monikers","4","16","60","60","30","2015","4,5,6,7,8,9,10,11,12,14,16","6,8,10","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mr. Jack","21763","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336437","6.78003","6.96814","2.17","748","24515","thing","Mr. Jack","2","2","30","30","30","2006","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","4","7","0","1","0","0","0","0","0","0","0","3","","","","","","92336077","5.69144","5.87255","1.8115","6117","97333","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin 2: Unnatural Axe","3943","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336080","6.09349","6.42329","1.801","0","20466","thing","Munchkin 2: Unnatural Axe","3","6","90","90","90","2002","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin 3: Clerical Errors","6606","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336084","6.06714","6.45179","1.8618","0","15432","thing","Munchkin 3: Clerical Errors","3","6","90","90","90","2003","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin 6: Demented Dungeons","33493","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336086","5.84097","6.43749","1.9136","0","7324","thing","Munchkin 6: Demented Dungeons","3","6","90","90","90","2008","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mysterium","181304","6","11","0","1","0","0","0","0","0","0","0","3","","","","","","92336092","7.0645","7.20521","1.8916","414","77811","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium: Secrets & Lies","216465","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336115","6.56375","7.82272","1.7143","0","9583","thing","Mysterium: Secrets & Lies","2","7","42","42","42","2017","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"No Thanks!","12942","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648806","6.95425","7.08072","1.131","529","42684","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oath","291572","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114099321","7.17737","7.75541","4.1306","312","18689","thing","Oath","1","6","150","150","45","2021","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Obsession","231733","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","103045165","7.70994","8.10779","3.0989","63","21421","thing","Obsession","1","4","90","90","30","2018","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Orichalcum","355888","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","100510223","6.25567","7.15368","2.2203","1896","3661","thing","Orichalcum","2","4","60","60","45","2022","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Rising Tide","234671","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","92336166","6.65874","7.54169","2.5333","956","6397","thing","Pandemic: Rising Tide","2","5","45","45","45","2017","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2017","English edition"
"Patchwork","163412","6","6","0","1","0","0","0","0","0","0","0","3","","","","","","92336186","7.48103","7.58828","1.5998","137","113364","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Polis","303551","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","97365910","6.23965","8.11442","3.8209","1956","2184","thing","Polis","2","2","120","120","60","2020","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"POOP: The Game","155081","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336223","5.38462","4.84938","1.1111","27987","1436","thing","POOP: The Game","2","5","15","15","15","2014","1,3,4,5","4","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Priorities","345056","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","122415333","5.58557","6.61435","1","9622","532","thing","Priorities","3","6","30","0","30","2020","2,3,4,5,6","4,5","16+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink Challenge: Lush Green Edition","306881","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","101541716","6.77482","7.6073","2.1385","757","9683","thing","Railroad Ink Challenge: Lush Green Edition","1","4","30","30","15","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink: Deep Blue Edition","245654","6","5","0","1","0","0","0","0","0","0","0","3","","","","","","96108557","6.90732","7.16348","1.4488","586","22276","thing","Railroad Ink: Deep Blue Edition","1","6","30","30","20","2018","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ready Set Bet","351040","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","121201517","7.02999","7.54714","1.3204","445","13241","thing","Ready Set Bet","2","9","60","60","45","2022","4,5,6,7,8,9","6,7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Resist!","352697","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110849417","6.54546","7.44127","2.2524","1156","6720","thing","Resist!","1","1","40","40","20","2022","1","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rising Waters","357416","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110849381","0","6.83","0","0","110","thing","Rising Waters","2","4","90","90","60","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","92405624","7.55981","7.73274","3.8232","108","72535","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Santa Cookie Elf Candy Snowman","315882","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336249","5.5873","6.39507","1","9514","1203","thing","Santa Cookie Elf Candy Snowman","3","8","10","10","10","2019","4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini: Pantheon Edition","386166","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130814219","5.98512","8.72413","1.5625","3108","2401","thing","Santorini: Pantheon Edition","2","4","20","20","20","2025","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini: Riddle of the Sphinx","383477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110849390","5.66222","8.37619","2","0","1615","thing","Santorini: Riddle of the Sphinx","1","4","20","20","20","2025","1,2","1","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Scopa","15889","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","125507808","5.86433","6.57532","1.4625","3944","2203","thing","Scopa","2","6","30","30","30","1600","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SCOUT","291453","10","0","0","0","0","0","0","0","0","0","0","3","","","","","","120876066","7.57327","7.81937","1.3577","100","41157","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper","367220","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648826","7.17597","7.4872","1.4751","313","30903","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Search for Planet X","279537","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336258","7.56171","7.925","2.4194","107","24204","thing","The Search for Planet X","1","4","75","75","60","2020","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Foxtrot Games; Renegade Game Studios","English","2020","English edition 2020"
"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","204305","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336159","6.98363","7.57035","2.2371","488","17640","thing","Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","1","8","120","120","60","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","110849174","7.01905","7.18449","1.113","452","41733","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Snakes of Wrath","372197","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648934","5.60025","7.69716","1.8182","8818","352","thing","Snakes of Wrath","2","2","30","30","15","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Souvlaki Wars","66437","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","99297087","5.6467","6.43254","1.5429","7140","673","thing","Souvlaki Wars","2","4","30","30","30","2011","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spaceteam","184491","4","6","0","1","0","0","0","0","0","0","0","3","","","","","","92337126","5.99425","6.57766","1.075","3051","5378","thing","Spaceteam","3","6","5","5","5","2015","4,5,6","6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","4","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336142","8.14178","8.33984","4.0737","10","86365","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","92336386","7.29401","7.41831","1.7791","234","127280","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall 2","193308","4","3","0","0","0","0","0","0","1","0","0","3","","","","","","92336338","6.27093","6.81739","1.2292","1847","7285","thing","Spyfall 2","3","12","15","15","15","2016","5,6,7,8,9,10,11,12","6,7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sub Terra","204472","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","92405345","6.76716","7.36322","2.145","767","9332","thing","Sub Terra","1","6","60","60","60","2017","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sub Terra II: Inferno's Edge","281258","9","0","0","0","0","0","0","0","0","0","0","3","","","","","","120876038","6.06966","7.52058","2.16","2671","2454","thing","Sub Terra II: Inferno's Edge","1","6","75","75","45","2023","1,2,3,4,5,6","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Summit: The Board Game","201186","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","92405460","5.9829","7.08604","2.3939","3119","2739","thing","Summit: The Board Game","1","6","180","180","40","2017","1,2,3,4,5,6","4,5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunrise Lane","394334","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","124462738","6.02169","7.0833","1.5","2898","2113","thing","Sunrise Lane","2","4","45","45","45","2023","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Mega Lucky Box","341530","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","108570984","6.45893","7.01533","1.2414","1349","5971","thing","Super Mega Lucky Box","1","6","20","20","20","2021","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Taco Cat Goat Cheese Pizza","253664","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336245","6.18776","6.54934","1.0405","2160","20198","thing","Taco Cat Goat Cheese Pizza","2","8","30","30","10","2018","3,4,5,6,7,8","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunder Road: Vendetta","342070","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","117513454","7.16968","7.95782","1.9434","320","8309","thing","Thunder Road: Vendetta","2","4","75","75","45","2023","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Amsterdam","309113","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648631","6.07594","6.91719","1.4828","2638","5402","thing","Ticket to Ride: Amsterdam","2","4","15","15","10","2020","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","99091475","7.40081","7.52684","1.9179","173","126791","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Timeline: General Interest","131325","5","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336271","6.32207","6.76342","1.0701","1683","8894","thing","Timeline: General Interest","2","8","15","15","15","2012","2,3,4,5,6,7,8","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"TOKYO✖CROSSING","267888","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648737","0","5.25","0","0","8","thing","TOKYO✖CROSSING","2","4","20","20","10","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Townsfolk Tussle","312859","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125507850","6.35482","7.70392","2.6481","1606","3973","thing","Townsfolk Tussle","2","5","200","200","40","2024","2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Panic Roll","English","2024","English second edition"
"Trekking Through History","353288","6","0","0","1","0","0","0","0","0","0","0","2","","","","","","103043298","6.95442","7.5683","1.7219","526","11070","thing","Trekking Through History","2","4","60","60","30","2022","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trio","352515","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","118295345","6.87817","7.38872","1.0483","626","14379","thing","Trio","3","6","15","15","15","2023","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Happy Camper","English","2023","English edition (North American)"
"Trivial Pursuit: Party","149328","3","1","0","1","0","0","0","0","0","0","0","3","","","","","","92336347","5.48279","5.31786","1.3333","26267","789","thing","Trivial Pursuit: Party","3","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Trogdor!!: The Board Game","255907","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","99091458","5.95907","6.87943","1.8387","3258","3918","thing","Trogdor!!: The Board Game","1","6","60","60","30","2019","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultimatch","414176","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648670","5.54256","6.12013","1","13398","438","thing","Ultimatch","1","5","20","20","20","2024","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched Adventures: Tales to Amaze","381297","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","122415347","6.91165","8.02418","2.2373","581","9625","thing","Unmatched Adventures: Tales to Amaze","1","4","60","60","20","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Votes for Women","311900","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110849208","6.07315","7.58722","2.3404","2652","2039","thing","Votes for Women","1","4","75","75","60","2022","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wandering Towers","355483","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","127648700","6.71183","7.38361","1.6364","860","8429","thing","Wandering Towers","2","6","30","30","30","2022","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Warp's Edge","296237","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","114099325","6.86365","7.69923","2.4058","648","9616","thing","Warp's Edge","1","1","45","45","30","2020","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Watergate","274364","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","95326995","7.40437","7.74899","2.2707","170","22873","thing","Watergate","2","2","60","60","30","2019","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","92336344","6.99006","7.24037","1.1089","483","27089","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Palm Court","English","2019","English edition"
"We Didn't Playtest This at All with Chaos Pack Expansion","157723","2","3","0","0","0","0","0","0","1","0","0","3","","","","","","92336209","5.51052","5.65192","1.0625","0","2088","thing","We Didn't Playtest This at All with Chaos Pack Expansion","2","10","10","10","10","2012","3,4,5,6,7,8,9","5,6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wikipedia: The Game About Everything","180459","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","92336349","5.47596","5.29119","1.25","26778","745","thing","Wikipedia: The Game About Everything","2","4","30","30","30","2015","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Cardinal","English","2015","English edition"
"Zendo","6830","4","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336066","6.51375","7.19854","2.5231","1222","3668","thing","Zendo","2","6","60","60","15","2001","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombie Dice","62871","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","110849185","6.08205","6.23047","1.0931","2612","36822","thing","Zombie Dice","2","99","20","20","10","2010","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
